index,Sector,RS_Score,Reversal_Score,Trend_Score,ATR_Score,Contra_Vol_Score,LT_Filter,TOTAL_SCORE,ACTION,Open,High,Low,Close,Volume_Metric,Date
0,MARKET_PROXY,2.0,0.0,0.7,0.0,0.0,0.0,2.7265992782087687,RED (EXIT/AVOID),172.1163769526338,174.17629602117012,170.98303177384398,173.14895006366956,-0.656278269426912,2025-07-01
1,银行,0.0,0.0,0.5,0.0,0.0,0.0,0.5233828216759041,RED (EXIT/AVOID),168.17545643944888,171.893412739911,167.88796008527208,170.7808066635427,-0.13244160051107787,2025-07-01
2,非银金融,0.0,0.0,0.5,0.0,0.0,0.0,0.49588581900771234,RED (EXIT/AVOID),150.51475405985235,151.6754659174517,149.1350974363398,150.20073629629616,-0.4716868950582454,2025-07-01
3,半导体,0.0,0.0,0.2,0.0,2.0,-3.0,-0.8295749144787083,RED (EXIT/AVOID),217.22524335301355,217.9855373900397,211.5942870760892,212.9185650901786,-0.18906549701855155,2025-07-01
4,软件,0.0,0.0,0.3,0.0,0.0,-3.0,-2.707479615572841,RED (EXIT/AVOID),132.5804136074791,133.42186345855748,129.73141679117933,130.92216447799126,-0.35070503031780503,2025-07-01
5,光模块中游,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),180.29671643875855,182.99356659674208,177.41240601526465,180.5243032888338,0.05894629736203063,2025-07-01
6,军工电子,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),173.682350370304,175.2548850274917,168.89484815540612,172.40765467993995,1.2909087726972037,2025-07-01
7,家用电器,0.0,0.0,-0.3,1.0,2.0,-3.0,-0.2688208969215693,RED (EXIT/AVOID),135.1891059401937,135.28666363521563,134.46311200423114,134.90516294076835,-1.0550340887798326,2025-07-01
8,电力,0.0,0.0,-0.1,0.9,2.0,0.0,2.772125846274711,RED (EXIT/AVOID),123.80748357939096,125.33293744321286,123.5947500431373,124.75521802659581,-0.567716990362568,2025-07-01
9,白酒,0.0,0.0,-0.5,1.0,0.0,-3.0,-2.5053724584897883,RED (EXIT/AVOID),76.05682438368855,76.15402309411368,75.3975886154722,75.59880805017978,-0.5627882449446837,2025-07-01
10,电网设备,0.0,0.0,0.1,0.9,2.0,-3.0,-0.02885272875861089,RED (EXIT/AVOID),119.63905399256008,120.34913362288256,118.72836710772926,119.65915354389647,-0.6101331240551219,2025-07-01
11,电池,2.0,0.0,1.0,0.0,0.0,0.0,3.0,YELLOW (WATCH/HOLD),141.17341790656135,142.05710435771576,137.4068213139307,140.58840363727498,0.18174887953698837,2025-07-01
12,整车,0.0,0.0,-0.3,1.0,0.0,-3.0,-2.2501129202559262,RED (EXIT/AVOID),109.58649023048623,110.16699943480224,108.98233659968527,109.35680781324888,-0.8912692313303936,2025-07-01
