Sector,Date,TOTAL_SCORE,Bull_Prob_Raw,Volume_Z,Open,High,Low,Close,Volume_Metric,Fit_Type,ACTION,Position_Size,Market_Score,Market_Regime,Market_Source,Strategy,Threshold_Buy,Threshold_Sell,Excess_Prob,Rotation_Status,Dispersion
银行,2025-07-01,0.9823130297889382,0.9786051102174478,-0.141504,170.698,173.448,173.448,173.448,-0.141504,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.282490709873233,MODERATE ROTATION,0.3336416472975362
非银金融,2025-07-01,0.18121399608135821,0.2812139960813582,0.422698,152.815,153.018,153.018,153.018,0.422698,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.518608323834347,MODERATE ROTATION,0.3336416472975362
半导体设计,2025-07-01,0.0,0.0001025495064170402,0.256039,189.428,185.007,185.007,185.007,0.256039,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.6998223199157052,MODERATE ROTATION,0.3336416472975362
半导体制造,2025-07-01,0.10599863837108461,0.20599863837108462,0.330709,157.496,157.351,157.351,157.351,0.330709,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.5938236815446206,MODERATE ROTATION,0.3336416472975362
半导体设备,2025-07-01,0.4088553704640704,0.423074521384072,-0.498537,148.963,149.577,149.577,149.577,-0.498537,Full (Ret+Vol+Var),🟡 NEUTRAL,0.3,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.2909669494516348,MODERATE ROTATION,0.3336416472975362
半导体材料,2025-07-01,0.9599740322316327,0.9684363647918436,1.09577,129.263,130.868,130.868,130.868,1.09577,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.2601517123159275,MODERATE ROTATION,0.3336416472975362
软件,2025-07-01,0.1886458802240066,0.2886458802240066,-0.40709,139.322,137.599,137.599,137.599,-0.40709,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.5111764396916986,MODERATE ROTATION,0.3336416472975362
光模块中游,2025-07-01,0.9270776315536008,0.9424491253711745,0.401942,201.951,200.249,200.249,200.249,0.401942,Full (Ret+Vol+Var),🟢 BUY,0.8,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,0.22725531163789559,MODERATE ROTATION,0.3336416472975362
液冷,2025-07-01,0.41615582245555016,0.5161558224555501,-0.654961,168.463,166.667,166.667,166.667,-0.654961,Full (Ret+Vol+Var),🟡 NEUTRAL,0.3,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.28366649746015504,MODERATE ROTATION,0.3336416472975362
军工电子,2025-07-01,0.17468572648372474,0.27468572648372475,1.49323,149.057,147.805,147.805,147.805,1.49323,Full (Ret+Vol+Var),🔴 AVOID,0.0,0.6998223199157052,📈 Bull,Sector Median,Selective sector bets,0.75,0.25,-0.5251365934319805,MODERATE ROTATION,0.3336416472975362
